#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,87811.15,2640738.50,1259879.05,-12743.33,1354468.43,-14725.45,1415509.12,-16067.66,0.00,-37815.36,0.00,0.00,0.00,0.00,0.00,87811.15,2640738.50,None,4319.81,11474.12
BASE,BermSwp,CPTY_A,4352.11,77.70,32.96,-644.79,43.27,-729.83,50.88,-787.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52120.96,52120.96
BASE,CC_SWAP_EUR_USD,CPTY_A,63334.84,2653165.39,1266877.91,-9431.57,1359964.15,-10620.92,1419815.51,-11401.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3150.66,7292.50
BASE,FX_CALL_OPTION,CPTY_A,15518.92,0.00,0.00,-2402.86,0.00,-2602.44,0.00,-2731.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,274767.11,274767.11
BASE,Swap_EUR,CPTY_A,37873.82,67845.99,31242.28,-5563.54,35725.70,-6351.23,38799.53,-6889.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,206212.15,206301.32
BASE,Swap_USD,CPTY_A,51118.78,56319.83,26070.66,-7559.86,29544.87,-8572.33,31912.38,-9260.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,308079.45,308079.45
eur_6m_up,,CPTY_A,87811.15,2640738.50,1259879.05,-12743.33,1354468.43,-14725.45,1415509.12,-16067.66,0.00,-37815.36,0.00,0.00,0.00,0.00,0.00,87811.15,2640738.50,None,4319.81,11474.12
eur_6m_up,BermSwp,CPTY_A,4352.11,77.70,32.96,-644.79,43.27,-729.83,50.88,-787.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52120.96,52120.96
eur_6m_up,CC_SWAP_EUR_USD,CPTY_A,63334.84,2653165.39,1266877.91,-9431.57,1359964.15,-10620.92,1419815.51,-11401.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3150.66,7292.50
eur_6m_up,FX_CALL_OPTION,CPTY_A,15518.92,0.00,0.00,-2402.86,0.00,-2602.44,0.00,-2731.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,274767.11,274767.11
eur_6m_up,Swap_EUR,CPTY_A,37873.82,67845.99,31242.28,-5563.54,35725.70,-6351.23,38799.53,-6889.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,206212.15,206301.32
eur_6m_up,Swap_USD,CPTY_A,51118.78,56319.83,26070.66,-7559.86,29544.87,-8572.33,31912.38,-9260.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,308079.45,308079.45
eonia_up,,CPTY_A,87811.15,2640738.50,-3789108.83,-268280.68,-4073588.09,-310009.52,-4257169.10,-338266.60,0.00,-796113.09,0.00,0.00,0.00,0.00,0.00,87811.15,2640738.50,None,4368.35,11589.12
eonia_up,BermSwp,CPTY_A,4352.11,77.70,-99.14,-13574.55,-130.14,-15364.76,-153.04,-16586.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52782.91,52782.91
eonia_up,CC_SWAP_EUR_USD,CPTY_A,63334.84,2653165.39,-3810157.78,-198559.45,-4090116.31,-223598.38,-4270120.32,-240025.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3189.74,7365.59
eonia_up,FX_CALL_OPTION,CPTY_A,15518.92,0.00,0.00,-50586.63,0.00,-54788.33,0.00,-57505.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,278256.33,278256.33
eonia_up,Swap_EUR,CPTY_A,37873.82,67845.99,-93961.83,-117127.19,-107445.82,-133709.98,-116690.42,-145043.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,209018.11,209018.11
eonia_up,Swap_USD,CPTY_A,51118.78,56319.83,-78408.03,-159154.86,-88856.81,-180469.91,-95977.14,-194949.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,312342.75,312342.75
no_shift,,CPTY_A,87811.15,2640738.50,1259879.05,-12743.33,1354468.43,-14725.45,1415509.12,-16067.66,0.00,-37815.36,0.00,0.00,0.00,0.00,0.00,87811.15,2640738.50,None,4319.81,11474.12
no_shift,BermSwp,CPTY_A,4352.11,77.70,32.96,-644.79,43.27,-729.83,50.88,-787.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52120.96,52120.96
no_shift,CC_SWAP_EUR_USD,CPTY_A,63334.84,2653165.39,1266877.91,-9431.57,1359964.15,-10620.92,1419815.51,-11401.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3150.66,7292.50
no_shift,FX_CALL_OPTION,CPTY_A,15518.92,0.00,0.00,-2402.86,0.00,-2602.44,0.00,-2731.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,274767.11,274767.11
no_shift,Swap_EUR,CPTY_A,37873.82,67845.99,31242.28,-5563.54,35725.70,-6351.23,38799.53,-6889.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,206212.15,206301.32
no_shift,Swap_USD,CPTY_A,51118.78,56319.83,26070.66,-7559.86,29544.87,-8572.33,31912.38,-9260.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,308079.45,308079.45
