#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,6705.670689,6696.039148,0.000000,6840.178027,CPTY_A,0.248634
1,2016-08-05,14,6009.459403,6005.445067,0.000000,6087.450355,CPTY_A,0.497268
2,2016-11-07,14,6663.260855,6655.536235,0.000000,6107.625967,CPTY_A,0.754098
3,2017-02-06,15,6495.085546,6521.935813,0.000000,6851.282653,CPTY_A,1.003002
4,2017-05-05,14,6686.127870,6707.418378,0.000000,6867.765042,CPTY_A,1.244098
5,2017-08-07,14,6365.864958,6349.039115,0.000000,8567.757528,CPTY_A,1.501632
6,2017-11-06,14,6338.864837,6357.955573,0.000000,7208.634795,CPTY_A,1.750947
7,2018-02-05,15,6415.450852,6424.954659,0.000000,7617.742418,CPTY_A,2.000262
8,2018-05-08,14,6757.621934,6719.707150,0.000000,8466.126311,CPTY_A,2.252317
9,2018-08-06,14,6873.183613,6854.288368,0.000000,7234.516340,CPTY_A,2.498892
10,2018-11-05,14,7270.078209,7175.855902,0.000000,6447.961302,CPTY_A,2.748207
11,2019-02-05,14,7326.882198,7298.439583,0.000000,8489.102087,CPTY_A,3.000262
12,2019-05-07,14,7003.986374,6821.461246,0.000000,7927.357583,CPTY_A,3.249577
13,2019-08-05,14,6707.579756,6755.804773,0.000000,7801.897976,CPTY_A,3.496152
14,2019-11-05,14,7108.411284,6909.414397,0.000000,7988.202575,CPTY_A,3.748207
15,2020-02-05,14,6803.559446,6669.085612,0.000000,7103.999350,CPTY_A,4.000000
16,2020-05-05,14,7161.327378,7019.484956,0.000000,7611.516432,CPTY_A,4.245902
17,2020-08-05,14,6760.835491,6692.023766,0.000000,7830.434876,CPTY_A,4.497268
18,2020-11-05,14,7160.051413,7043.046318,0.000000,8527.427806,CPTY_A,4.748634
19,2021-02-05,14,7517.195212,7092.886854,0.000000,9409.878794,CPTY_A,5.000262
20,2021-05-05,14,7604.307377,7448.361478,0.000000,8235.774271,CPTY_A,5.244098
21,2021-08-05,14,7203.565189,7076.190886,0.000000,7295.419574,CPTY_A,5.496152
22,2021-11-05,14,8232.993632,7578.224114,0.000000,10934.710539,CPTY_A,5.748207
23,2022-02-07,15,8549.470392,7846.625598,0.000000,9627.770467,CPTY_A,6.005741
24,2022-05-05,14,7309.402747,7042.447340,0.000000,9029.500314,CPTY_A,6.244098
25,2022-08-05,14,7420.470397,7040.326678,0.000000,8675.782510,CPTY_A,6.496152
26,2022-11-07,14,8195.483932,7854.435732,0.000000,8051.188667,CPTY_A,6.753687
27,2023-02-06,15,7732.572909,7055.458231,0.000000,10143.939013,CPTY_A,7.003002
28,2023-05-05,14,8206.855947,7643.341046,0.000000,9175.881542,CPTY_A,7.244098
29,2023-08-07,14,8689.810597,7774.357736,0.000000,9990.133067,CPTY_A,7.501632
30,2023-11-06,14,9183.682645,8638.903663,0.000000,12683.640529,CPTY_A,7.750947
31,2024-02-05,15,9039.903212,8242.050266,0.000000,9670.429801,CPTY_A,8.000000
32,2024-05-07,14,8992.877129,8345.244088,0.000000,12665.216976,CPTY_A,8.251366
33,2024-08-05,14,9337.065604,8857.892121,0.000000,10556.649177,CPTY_A,8.497268
34,2024-11-05,14,8197.734911,7757.039245,0.000000,9017.526913,CPTY_A,8.748634
35,2025-02-05,14,8180.085922,7318.853950,0.000000,9689.271307,CPTY_A,9.000262
36,2025-05-06,14,9099.094921,8053.983273,0.000000,11729.315800,CPTY_A,9.246837
37,2025-08-05,14,8614.054521,7885.468001,0.000000,8918.404151,CPTY_A,9.496152
38,2025-11-05,14,9325.980125,8814.623740,0.000000,11028.204187,CPTY_A,9.748207
39,2026-02-05,14,8221.205030,7770.758583,0.000000,10055.703923,CPTY_A,10.000262
40,2026-05-05,14,9687.532017,9158.538328,0.000000,14105.101428,CPTY_A,10.244098
41,2026-08-05,14,9322.565101,9120.040471,0.000000,11218.614738,CPTY_A,10.496152
42,2026-11-05,14,9409.031419,9281.489466,0.000000,12424.442809,CPTY_A,10.748207
43,2027-02-05,14,8817.489168,8878.392056,0.000000,11977.610438,CPTY_A,11.000262
44,2027-05-05,14,8161.441912,8108.212859,0.000000,8308.261257,CPTY_A,11.244098
45,2027-08-05,14,8455.373383,8578.914798,0.000000,9680.297086,CPTY_A,11.496152
46,2027-11-05,14,7717.841553,7644.520665,0.000000,8800.049642,CPTY_A,11.748207
47,2028-02-07,15,7665.657740,7625.159363,0.000000,11112.575117,CPTY_A,12.005464
48,2028-05-05,14,7526.105242,7453.336376,0.000000,9290.759552,CPTY_A,12.245902
49,2028-08-07,14,7312.907485,7272.214038,0.000000,9659.663997,CPTY_A,12.502732
50,2028-11-06,14,6555.027801,6404.092213,0.000000,6923.461655,CPTY_A,12.751366
51,2029-02-05,15,7003.260069,7030.064684,0.000000,8185.490464,CPTY_A,13.000262
52,2029-05-08,14,6974.198824,6996.588727,0.000000,8710.778983,CPTY_A,13.252317
53,2029-08-06,14,6290.094792,6288.318261,0.000000,7430.393563,CPTY_A,13.498892
54,2029-11-05,14,5999.525832,5838.258369,0.000000,7091.176380,CPTY_A,13.748207
55,2030-02-05,14,5940.665500,5941.556340,0.000000,7648.079218,CPTY_A,14.000262
56,2030-05-07,14,5599.519309,5568.987815,0.000000,6997.945882,CPTY_A,14.249577
57,2030-08-05,14,5521.824499,5482.037945,0.000000,7397.557979,CPTY_A,14.496152
58,2030-11-05,14,5646.036826,5662.982323,0.000000,6252.151488,CPTY_A,14.748207
59,2031-02-05,14,5431.255705,5046.824342,0.000000,6197.983080,CPTY_A,15.000262
60,2031-05-06,14,4539.919924,4481.751146,0.000000,4773.780904,CPTY_A,15.246837
61,2031-08-05,14,4812.687369,4803.600063,0.000000,6612.068946,CPTY_A,15.496152
62,2031-11-05,14,3649.670209,3555.443594,0.000000,3920.652932,CPTY_A,15.748207
63,2032-02-05,14,4073.000493,4056.394893,0.000000,5119.938538,CPTY_A,16.000000
64,2032-05-05,14,3650.407472,3604.996164,0.000000,4463.755069,CPTY_A,16.245902
65,2032-08-05,14,3735.078031,3718.755377,0.000000,3950.052517,CPTY_A,16.497268
66,2032-11-05,14,2500.271234,2457.589645,0.000000,3204.027404,CPTY_A,16.748634
67,2033-02-07,15,2796.178559,2765.469846,0.000000,3361.054328,CPTY_A,17.005741
68,2033-05-05,14,2265.829453,2267.068317,0.000000,3256.559325,CPTY_A,17.244098
69,2033-08-05,14,2506.672732,2485.259378,0.000000,3483.806624,CPTY_A,17.496152
70,2033-11-07,14,2282.761526,2241.570367,0.000000,2812.848373,CPTY_A,17.753687
71,2034-02-06,15,2138.032480,2104.561546,0.000000,3020.793704,CPTY_A,18.003002
72,2034-05-05,14,1519.436409,1511.764599,0.000000,1875.430576,CPTY_A,18.244098
73,2034-08-07,14,1559.310902,1537.863240,0.000000,1843.509348,CPTY_A,18.501632
74,2034-11-06,14,1057.761607,1049.798498,0.000000,1578.262583,CPTY_A,18.750947
75,2035-02-05,15,978.737059,954.332561,0.000000,1270.620413,CPTY_A,19.000262
76,2035-05-08,14,522.144856,515.581624,0.000000,673.947551,CPTY_A,19.252317
77,2035-08-06,14,508.252034,494.838808,0.000000,553.060343,CPTY_A,19.498892
78,2035-11-05,14,2.871568,2.584056,0.000000,4.279454,CPTY_A,19.748207
79,2036-02-05,14,0.847874,0.634680,0.000000,0.975865,CPTY_A,20.000000
80,2036-05-06,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,20.248634
81,2036-08-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,20.497268
82,2036-11-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,20.748634
83,2037-02-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,21.000262
84,2037-05-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,21.244098
85,2037-08-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,21.496152
86,2037-11-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,21.748207
87,2038-02-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,22.000262
